6.27,323.62,171.52
356.28,320.44,184.50
355.37,318.22,185.18
7.12,321.52,171.07
3.60,319.47,175.79
353.75,319.33,187.26
356.04,324.37,185.52
358.62,326.76,182.10
358.71,323.52,181.75
359.92,323.69,180.11
0.95,323.68,178.71
357.48,322.51,183.29
353.70,323.11,188.37
357.50,323.68,183.40
4.68,327.79,172.60
5.31,327.70,171.64
356.98,324.92,184.30
358.21,325.08,182.57
3.36,325.42,175.13
3.96,325.69,174.21
5.52,325.06,172.12
4.80,322.49,173.76
7.11,320.87,171.28
5.36,317.54,174.14
358.11,316.06,181.97
6.71,318.71,172.37
13.85,317.33,165.02
14.71,317.43,164.05
2.57,314.49,177.48
3.54,313.44,176.65
14.67,316.61,164.52
15.80,317.13,163.05
6.70,313.52,173.64
7.19,312.21,173.48
14.15,311.69,167.35
19.23,312.20,162.46
7.83,308.44,173.77
1.06,308.31,179.16
4.67,308.12,176.33
18.65,310.96,163.67
21.92,310.52,161.02
16.83,306.79,167.26
3.50,304.68,177.58
11.96,306.10,171.22
13.36,307.37,169.72
12.01,308.41,170.42
5.64,309.49,175.35
8.86,310.12,172.52
11.67,311.10,169.78
10.90,310.11,170.79
3.47,306.97,177.38
2.25,305.55,178.39
7.88,306.43,174.17
13.49,308.05,169.37
10.43,308.64,171.63
4.77,308.31,176.23
3.83,307.26,177.09
7.79,307.08,174.10
13.44,308.16,169.37
4.61,306.14,176.63
3.11,305.97,177.74
11.10,306.24,171.81
12.72,306.74,170.44
6.47,306.94,175.12
2.56,307.24,178.05
6.73,306.85,174.95
9.01,307.13,173.16
5.10,306.57,176.21
3.49,306.93,177.38
7.76,307.72,173.98
11.85,306.92,171.04
8.31,306.06,173.93
1.33,304.93,179.07
10.89,306.45,171.91
12.75,307.09,170.29
6.29,306.26,175.38
4.07,306.13,177.03
4.96,305.86,176.41
10.38,306.85,172.18
8.14,307.31,173.78
0.04,306.62,179.97
7.10,306.17,174.80
10.51,306.42,172.21
7.85,306.78,174.12
2.35,305.68,178.31
7.54,305.97,174.51
9.27,306.08,173.22
3.67,305.38,177.39
2.58,306.41,178.10
9.61,307.74,172.53
8.88,307.60,173.14
4.05,307.58,176.88
3.45,307.11,177.39
6.00,305.47,175.72
8.36,305.23,174.08
5.42,306.10,176.04
2.98,306.80,177.77
1.96,307.73,178.49
10.46,309.37,171.39
7.16,307.68,174.46
0.82,306.24,179.40
2.50,306.62,178.14
9.25,306.93,173.02
10.06,308.00,172.11
4.42,307.47,176.61
1.76,306.76,178.68
8.19,307.38,173.73
9.58,307.93,172.51
3.06,307.97,177.61
2.43,308.01,178.10
9.07,307.49,173.02
9.34,307.67,172.76
4.19,308.62,176.65
5.15,309.16,175.81
8.33,309.03,173.23
9.87,308.20,172.20
7.09,307.81,174.49
5.54,307.29,175.78
5.85,306.84,175.61
4.23,307.16,176.79
9.46,308.81,172.37
8.53,308.45,173.21
3.80,308.28,177.00
2.07,307.58,178.40
7.05,308.17,174.45
10.90,308.30,171.35
8.99,308.78,172.76
6.76,308.01,174.71
6.28,309.02,174.90
7.03,308.37,174.42
11.05,308.78,171.08
6.75,308.73,174.58
3.71,309.41,176.95
5.50,309.01,175.54
3.81,309.38,176.87
5.40,311.01,175.30
15.30,313.37,165.51
11.95,314.57,168.22
0.77,316.30,179.19
359.20,317.44,180.87
19.08,320.97,156.90
19.38,319.72,157.46
5.33,317.62,174.16
3.00,319.39,176.50
9.33,320.72,168.65
17.66,322.28,157.63
18.66,322.22,156.46
9.79,320.10,168.33
5.36,320.06,173.61
7.82,321.28,170.28
11.94,320.80,165.47
9.48,322.92,167.54
6.76,320.80,171.73
8.41,321.49,169.47
11.50,320.33,166.21
9.76,320.09,168.38
6.83,319.39,172.05
9.49,320.19,168.66
13.86,322.25,162.32
11.19,320.84,166.35
8.14,319.42,170.52
8.35,318.07,170.72
13.96,318.47,164.33
13.17,319.26,164.80
9.02,319.68,169.40
8.90,319.84,169.49
10.72,321.05,166.82
14.66,320.22,162.56
12.26,319.53,165.71
8.31,318.85,170.51
11.27,319.34,166.94
14.71,320.27,162.47
14.27,319.77,163.26
11.76,319.87,166.12
9.47,318.99,169.14
12.19,319.44,165.84
15.04,319.89,162.31
14.38,318.70,163.73
10.49,317.93,168.41
12.18,318.68,166.21
15.76,319.98,161.42
14.44,319.76,163.07
11.68,318.62,166.80
12.49,318.85,165.77
14.25,318.30,164.10
15.33,318.99,162.50
14.33,318.51,163.89
12.89,319.09,165.20
14.56,319.06,163.33
