7.92,330.20,166.34
8.49,330.05,165.48
8.30,329.65,166.01
7.55,329.16,167.48
8.47,329.78,165.66
8.05,330.84,165.77
7.44,331.22,166.63
7.82,330.80,166.20
7.45,330.73,166.86
7.21,330.75,167.26
6.77,329.91,168.43
8.04,329.79,166.36
8.20,330.46,165.73
8.21,330.45,165.72
8.95,330.20,164.62
8.72,330.26,164.98
7.94,330.67,166.07
7.04,330.71,167.58
6.76,330.36,168.23
7.41,330.66,166.97
8.12,330.09,166.07
8.52,330.82,164.98
8.41,331.15,164.98
7.18,330.80,167.30
7.30,330.47,167.25
7.45,330.24,167.11
7.15,330.10,167.70
8.03,330.62,165.94
7.97,330.62,166.03
7.75,330.73,166.35
7.37,330.67,167.04
7.58,329.88,167.08
7.80,330.39,166.45
8.11,330.13,166.06
7.87,330.73,166.14
7.44,330.45,167.04
7.75,330.37,166.55
6.87,330.96,167.75
7.12,330.98,167.31
7.90,330.74,166.09
7.31,330.80,167.07
7.11,330.62,167.50
7.66,330.40,166.67
7.23,330.53,167.35
7.92,330.46,166.21
7.89,329.83,166.60
7.37,330.37,167.19
7.49,330.95,166.68
7.26,330.96,167.07
7.58,331.11,166.45
7.39,330.85,166.91
7.27,331.08,167.00
7.96,330.85,165.92
6.98,330.93,167.57
6.65,330.17,168.50
8.21,329.78,166.09
8.10,330.08,166.11
7.66,330.85,166.45
7.68,330.47,166.61
8.06,330.49,165.96
7.73,330.63,166.44
6.89,331.06,167.67
7.92,330.69,166.09
7.37,330.82,166.96
7.29,330.56,167.23
8.32,330.40,165.56
7.15,330.43,167.53
6.91,330.65,167.83
7.80,330.55,166.36
7.55,330.75,166.68
6.88,330.36,168.03
8.09,330.13,166.11
7.46,331.02,166.70
7.32,330.61,167.16
7.37,330.84,166.95
7.25,330.89,167.13
6.61,330.71,168.33
6.69,330.23,168.40
7.88,330.16,166.44
7.83,330.32,166.43
6.56,330.38,168.57
7.45,329.97,167.25
7.41,330.95,166.81
6.76,330.87,167.98
7.63,330.45,166.70
7.80,331.21,165.99
7.04,331.24,167.31
7.40,330.68,166.99
7.47,330.85,166.76
7.54,330.88,166.64
7.79,330.48,166.41
7.42,330.80,166.88
7.24,331.30,166.93
7.65,330.61,166.58
7.79,330.43,166.45
5.98,330.77,169.40
6.84,330.59,167.99
8.23,330.97,165.39
7.95,331.07,165.83
7.23,330.27,167.47
7.14,330.57,167.48
6.96,331.26,167.45
7.06,330.66,167.57
7.16,330.58,167.44
7.24,330.74,167.23
7.08,330.63,167.56
7.79,330.52,166.39
7.38,330.92,166.90
6.44,330.88,168.55
6.83,330.35,168.11
7.23,330.01,167.60
7.64,330.57,166.63
7.53,331.26,166.45
7.56,330.84,166.62
7.31,331.01,166.96
7.28,330.91,167.06
6.51,330.27,168.70
6.89,330.24,168.07
7.33,330.95,166.97
7.37,330.54,167.10
7.74,330.23,166.64
7.31,330.32,167.31
7.08,330.02,167.85
7.48,330.68,166.84
7.22,330.37,167.45
6.76,329.47,168.63
7.28,329.73,167.65
7.26,330.35,167.40
7.72,330.73,166.40
7.63,330.96,166.44
7.49,330.15,167.10
7.34,330.73,167.06
6.81,330.71,167.97
7.01,330.30,167.83
6.66,330.78,168.21
7.26,331.10,167.00
6.73,330.62,168.16
6.88,329.91,168.24
7.47,330.72,166.83
6.95,330.65,167.76
6.98,330.21,167.93
7.22,330.28,167.49
7.32,330.58,167.17
7.49,329.91,167.23
7.27,330.64,167.21
6.96,330.17,167.97
6.93,330.33,167.95
6.80,329.99,168.34
7.45,329.91,167.28
8.04,329.91,166.30
7.09,330.23,167.72
7.42,330.32,167.14
8.05,330.61,165.90
6.98,330.30,167.89
7.56,330.39,166.86
7.68,330.67,166.51
6.78,330.51,168.12
7.36,330.10,167.35
7.53,330.24,166.98
7.63,330.13,166.86
7.99,330.47,166.09
7.43,330.37,167.08
7.47,330.58,166.90
7.47,330.92,166.74
6.80,330.60,168.05
7.25,330.78,167.18
7.34,330.92,166.95
7.55,330.82,166.65
8.06,330.87,165.75
8.00,331.03,165.76
6.91,330.97,167.68
6.71,330.74,168.15
7.72,330.70,166.42
7.14,330.55,167.49
7.22,330.58,167.35
7.32,331.04,166.94
7.48,331.26,166.53
7.85,330.82,166.13
7.92,330.73,166.06
7.22,330.90,167.18
6.73,330.65,168.15
